edad,sexo,baja_severa,baja,promedio,alta
5,H,96.1,100.7,110.0,119.2
5,M,95.2,99.9,109.4,118.9
6,H,102.3,107.4,116.0,127.4
6,M,101.2,106.1,115.1,125.8
7,H,108.4,113.9,125.0,136.1
7,M,107.2,112.7,123.7,134.8
8,H,114.0,119.7,131.4,143.2
8,M,112.8,118.6,130.2,142.2
9,H,119.4,125.6,138.1,150.7
9,M,118.3,124.7,137.6,150.4
10,H,124.4,131.4,145.0,158.6
10,M,123.9,130.8,145.0,159.0
11,H,128.8,135.9,150.2,164.5
11,M,129.8,136.9,151.2,165.5
12,H,133.4,141.2,156.2,171.1
12,M,135.6,143.1,158.0,172.9
