ticket,fecha_venta,id_local,local,tipo_local,id_ciudad,ciudad,estado,pais,venta_ticket,item,id_estilo,id_medida,cantidad,estilo,medida,precio_lista,precio_venta,venta_item,costo_urinario,costo_venta,utilidad,id_tipo_calzado,tipo_calzado
74190,22/07/2021,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,"$150,700.00",1,C001,30M,1,COMFORT VERONA,30 Y MEDIO,1507.00,150700.00,150700.00,393.00,393.00,150307.00, C ,CABALLERO
74458,23/07/2021,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,"$119,200.00",1,C001,30M,1,COMFORT VERONA,30 Y MEDIO,1296.00,119200.00,119200.00,393.00,393.00,118807.00, C ,CABALLERO
105077,21/01/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$3,047.00",1,C002,30M,1,CONFORT MILAN,30 Y MEDIO,3047.00,3047.00,3047.00,420.00,420.00,2627.00, C ,CABALLERO
105611,21/02/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$3,047.00",1,C002,24M,1,CONFORT MILAN,24 Y MEDIO,3047.00,3047.00,3047.00,420.00,420.00,2627.00, C ,CABALLERO
105867,09/03/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$3,047.00",1,C002,22N,1,CONFORT MILAN,22 NORMAL,3047.00,3047.00,3047.00,420.00,420.00,2627.00, C ,CABALLERO
106456,08/04/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$3,047.00",1,C002,27M,1,CONFORT MILAN,27 Y MEDIO,3047.00,3047.00,3047.00,420.00,420.00,2627.00, C ,CABALLERO
107038,22/05/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$3,047.00",1,C002,30M,1,CONFORT MILAN,30 Y MEDIO,3047.00,3047.00,3047.00,420.00,420.00,2627.00, C ,CABALLERO
107726,07/07/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$12,188.00",1,C002,28M,4,CONFORT MILAN,28 Y MEDIO,3047.00,3047.00,12188.00,420.00,1680.00,10508.00, C ,CABALLERO
107956,20/07/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$3,047.00",1,C002,19N,1,CONFORT MILAN,19 NORMAL,3047.00,3047.00,3047.00,420.00,420.00,2627.00, C ,CABALLERO
108664,04/09/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$3,047.00",1,C002,21M,1,CONFORT MILAN,21 Y MEDIO,3047.00,3047.00,3047.00,420.00,420.00,2627.00, C ,CABALLERO
109498,28/10/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$3,047.00",1,C002,30M,1,CONFORT MILAN,30 Y MEDIO,3047.00,3047.00,3047.00,420.00,420.00,2627.00, C ,CABALLERO
110116,08/12/2021,18,HARLEM IRVING,ESTÁNDAR,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$3,047.00",1,C002,18N,1,CONFORT MILAN,18 NORMAL,3047.00,3047.00,3047.00,420.00,420.00,2627.00, C ,CABALLERO
105234,28/01/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,947.00",1,D005,24M,1,SERENA STORM,24 Y MEDIO,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
105794,02/03/2021,18,HARLEM IRVING,ESTÁNDAR,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,947.00",1,D005,18N,1,SERENA STORM,18 NORMAL,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
106283,29/03/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,947.00",1,D005,25N,1,SERENA STORM,25 NORMAL,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
106677,28/04/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,947.00",1,D005,20N,1,SERENA STORM,20 NORMAL,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
107406,20/06/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,947.00",1,D005,24N,1,SERENA STORM,24 NORMAL,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
108049,22/07/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,947.00",1,D005,24M,1,SERENA STORM,24 Y MEDIO,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
108618,31/08/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,947.00",1,D005,19N,1,SERENA STORM,19 NORMAL,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
109219,07/10/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,947.00",1,D005,26N,1,SERENA STORM,26 NORMAL,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
109708,14/11/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,947.00",1,D005,24M,1,SERENA STORM,24 Y MEDIO,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
110344,21/12/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,947.00",1,D005,18M,1,SERENA STORM,18 Y MEDIO,2947.00,2947.00,2947.00,459.00,459.00,2488.00, D ,DAMA
104668,03/01/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,943.00",1,S002,24N,1,CITUAN,24 NORMAL,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
105065,20/01/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,943.00",1,S002,18M,1,CITUAN,18 Y MEDIO,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
105701,25/02/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,943.00",1,S002,24N,1,CITUAN,24 NORMAL,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
106528,11/04/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,943.00",1,S002,30M,1,CITUAN,30 Y MEDIO,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
106738,01/05/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,943.00",1,S002,23M,1,CITUAN,23 Y MEDIO,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
107229,05/06/2021,18,HARLEM IRVING,ESTÁNDAR,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,943.00",1,S002,30M,1,CITUAN,30 Y MEDIO,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
107583,02/07/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,943.00",1,S002,28N,1,CITUAN,28 NORMAL,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
107930,18/07/2021,18,HARLEM IRVING,ESTÁNDAR,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,943.00",1,S002,19N,1,CITUAN,19 NORMAL,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
108238,04/08/2021,18,HARLEM IRVING,ESTÁNDAR,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,943.00",1,S002,20M,1,CITUAN,20 Y MEDIO,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
108909,20/09/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,943.00",1,S002,22N,1,CITUAN,22 NORMAL,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
109353,14/10/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,943.00",1,S002,30N,1,CITUAN,30 NORMAL,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
109999,28/11/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,943.00",1,S002,22N,1,CITUAN,22 NORMAL,2943.00,2943.00,2943.00,394.00,394.00,2549.00, S ,DEPORTIVO
104821,10/01/2021,17,HYDE PARK,PREMIUM,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,898.00",1,S003,25M,1,ULTRA-ALIVE,25 Y MEDIO,2898.00,2898.00,2898.00,388.00,388.00,2510.00, S ,DEPORTIVO
105672,23/02/2021,18,HARLEM IRVING,ESTÁNDAR,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,898.00",1,S003,23N,1,ULTRA-ALIVE,23 NORMAL,2898.00,2898.00,2898.00,388.00,388.00,2510.00, S ,DEPORTIVO
106416,05/04/2021,18,HARLEM IRVING,ESTÁNDAR,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,898.00",1,S003,19M,1,ULTRA-ALIVE,19 Y MEDIO,2898.00,2898.00,2898.00,388.00,388.00,2510.00, S ,DEPORTIVO
106951,16/05/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,898.00",1,S003,21M,1,ULTRA-ALIVE,21 Y MEDIO,2898.00,2898.00,2898.00,388.00,388.00,2510.00, S ,DEPORTIVO
107340,14/06/2021,18,HARLEM IRVING,ESTÁNDAR,CHI,CHICAGO,ILLINOIS,ESTADOS UNIDOS,"$2,898.00",1,S003,30M,1,ULTRA-ALIVE,30 Y MEDIO,2898.00,2898.00,2898.00,388.00,388.00,2510.00, S ,DEPORTIVO
108349,11/08/2021,19,THE GALLERIA,ESTÁNDAR,HOU,HOUSTON,TEXAS,ESTADOS UNIDOS,"$2,898.00",1,S003,27N,1,ULTRA-ALIVE,27 NORMAL,2898.00,2898.00,2898.00,388.00,388.00,2510.00, S ,DEPORTIVO
